cik,subset,ticker,label,Fiscal Period,Cost of Goods Sold,"Depreciation, Depletion and Amortization",EBIT,EBITDA,Gross Profit,Long-Term Debt,Market Cap,Net Income,Retained Earnings,Revenue,Total Assets,Total Current Assets,Total Current Liabilities,Total Inventories,Total Liabilities,Total Operating Expense,Total Receivables
1061219,train,EPD,False,Dec 2018,31397.0,1792.0,5396.0,7187.0,5137.0,24678.0,53726.0,4172.0,0.0,36534.0,56970.0,6061.0,7168.0,1522.0,32678.0,208.0,3663.0
1061219,train,EPD,False,Dec 2019,27062.0,1745.0,5976.0,7720.0,5727.0,25643.0,61649.0,4591.0,0.0,32789.0,61733.0,7863.0,9130.0,2091.0,35906.0,212.0,4876.0
1061219,train,EPD,False,Dec 2020,22371.0,1840.0,5049.0,6889.0,4829.0,28541.0,42751.0,3776.0,0.0,27200.0,64107.0,9909.0,8988.0,3304.0,38729.0,220.0,4808.0
885508,train,STRS,False,Dec 2016,67.0,8.08,0.63,8.71,13.34,240.78,265.21,-6.0,-41.14,80.34,452.18,46.73,70.3,21.24,321.15,12.16,0.0
885508,train,STRS,False,Dec 2017,68.63,7.85,24.53,32.38,11.71,190.46,241.58,3.88,-37.12,80.34,405.99,62.0,78.57,22.61,278.6,11.4,0.0
885508,train,STRS,False,Dec 2018,21.91,8.57,-5.84,2.73,3.08,98.73,195.77,-3.98,-41.1,24.99,496.49,194.58,245.56,16.4,349.84,10.31,0.0
885508,train,STRS,False,Dec 2019,75.31,11.01,10.13,21.14,16.86,295.89,253.94,-2.46,-43.57,92.18,561.37,90.78,105.27,14.87,427.29,12.38,0.0
885508,train,STRS,False,Dec 2020,37.41,13.67,-6.47,7.2,6.92,93.29,209.64,-22.79,-66.36,44.33,544.02,270.95,318.17,4.2,434.25,13.58,0.0
1295810,train,SHO,False,Dec 2016,560.0,163.7,188.1,351.8,629.3,746.4,3356.1,134.2,786.9,1189.3,3739.2,567.6,408.8,1.2,1207.4,458.9,39.3
1295810,train,SHO,False,Dec 2017,560.9,159.1,187.6,346.7,632.7,977.3,3724.6,145.4,932.3,1193.6,3857.8,728.1,242.6,1.3,1275.6,451.6,34.2
1295810,train,SHO,False,Dec 2018,546.4,146.5,305.6,452.1,612.7,971.2,2969.5,250.4,1182.7,1159.1,3972.8,908.5,232.7,7.9,1261.7,429.4,33.8
1295810,train,SHO,False,Dec 2019,530.8,147.7,194.1,341.8,584.4,889.0,3130.0,135.7,1318.5,1115.2,3919.0,913.7,325.6,7.9,1297.9,422.3,35.2
1295810,train,SHO,False,Dec 2020,251.7,137.1,-353.7,-216.7,16.2,742.5,2442.7,-404.7,913.8,267.9,2985.7,435.1,90.8,7.9,896.3,263.2,8.6
905895,train,HLYW,False,Dec 2000,544.0,247.0,120.0,367.0,835.0,402.0,0.0,100.0,-487.0,1380.0,719.0,140.0,411.0,62.0,832.0,716.0,29.0
905895,train,HLYW,False,Dec 2001,544.0,247.0,120.0,367.0,835.0,402.0,0.0,100.0,-487.0,1380.0,719.0,140.0,411.0,62.0,832.0,716.0,29.0
905895,train,HLYW,False,Dec 2002,574.0,59.0,189.0,249.0,917.0,361.0,0.0,242.0,-246.0,1490.0,1146.0,399.0,511.0,97.0,889.0,727.0,35.0
905895,train,HLYW,False,Dec 2003,665.0,61.0,173.0,233.0,1018.0,371.0,0.0,82.0,-163.0,1683.0,997.0,251.0,285.0,130.0,672.0,833.0,34.0
905895,train,HLYW,False,Dec 2004,717.0,247.0,146.0,393.0,1066.0,371.0,0.0,71.0,-121.0,1782.0,1120.0,403.0,351.0,148.0,746.0,919.0,38.0
911361,train,SPK,False,Dec 1996,0.0,53.0,110.0,163.0,331.0,1232.0,0.0,115.0,31.0,331.0,3243.0,37.0,305.0,0.0,1377.0,221.0,14.0
911361,train,SPK,False,Dec 1997,0.0,53.0,110.0,163.0,331.0,1232.0,0.0,115.0,31.0,331.0,3243.0,37.0,305.0,0.0,1377.0,221.0,14.0
911361,train,SPK,False,Dec 1998,0.0,95.0,280.0,375.0,561.0,1547.0,0.0,160.0,31.0,561.0,4057.0,27.0,454.0,0.0,1737.0,281.0,22.0
911361,train,SPK,False,Dec 1999,0.0,111.0,316.0,428.0,644.0,1934.0,0.0,220.0,31.0,644.0,4268.0,45.0,231.0,0.0,1941.0,328.0,28.0
911361,train,SPK,False,Dec 2000,0.0,138.0,373.0,511.0,754.0,1993.0,0.0,333.0,148.0,754.0,4528.0,61.0,271.0,0.0,2020.0,381.0,48.0
867773,train,SPWR,False,Dec 2016,2331.0,171.0,-467.0,-297.0,222.0,1565.0,600.0,-449.0,-1219.0,2553.0,4567.0,1915.0,1090.0,402.0,3480.0,450.0,353.0
867773,train,SPWR,False,Dec 2017,1813.0,185.0,-1110.0,-925.0,-19.0,1247.0,771.0,-929.0,-1670.0,1794.0,4029.0,1352.0,1098.0,353.0,3336.0,361.0,301.0
867773,train,SPWR,False,Dec 2018,1054.0,127.0,-258.0,-131.0,148.0,859.0,459.0,-811.0,-2481.0,1202.0,2353.0,1074.0,705.0,308.0,2503.0,249.0,292.0
867773,train,SPWR,False,Dec 2019,929.0,80.0,240.0,320.0,163.0,933.0,859.0,22.0,-2450.0,1092.0,2172.0,1381.0,898.0,163.0,2150.0,206.0,247.0
867773,train,SPWR,False,Dec 2020,715.0,49.0,682.0,731.0,148.0,479.0,4370.0,473.0,-2085.0,863.0,1646.0,790.0,530.0,211.0,1240.0,173.0,234.0
1122976,train,AVNT,False,Dec 2016,2262.0,106.0,286.0,392.0,676.0,1239.0,2588.0,165.0,491.0,2939.0,2736.0,950.0,510.0,266.0,2010.0,409.0,326.0
1122976,train,AVNT,False,Dec 2017,1994.0,98.0,173.0,271.0,596.0,1276.0,3519.0,-58.0,387.0,2590.0,2705.0,1067.0,571.0,328.0,2106.0,423.0,392.0
1122976,train,AVNT,False,Dec 2018,2256.0,92.0,165.0,256.0,625.0,1336.0,2222.0,160.0,473.0,2881.0,2723.0,999.0,558.0,285.0,2183.0,446.0,347.0
1122976,train,AVNT,False,Dec 2019,2206.0,88.0,169.0,256.0,657.0,1211.0,2829.0,589.0,1001.0,2863.0,3273.0,1513.0,703.0,261.0,2221.0,500.0,330.0
1122976,train,AVNT,False,Dec 2020,2458.0,115.0,214.0,329.0,784.0,1854.0,3678.0,132.0,1057.0,3242.0,4871.0,1602.0,801.0,328.0,3159.0,595.0,517.0
1002114,train,PIXR,False,Dec 2001,42.0,48.0,141.0,188.0,160.0,0.0,0.0,90.0,268.0,202.0,732.0,476.0,2.0,0.0,19.0,20.0,137.0
1002114,train,PIXR,False,Dec 2002,42.0,48.0,141.0,188.0,160.0,0.0,0.0,90.0,268.0,202.0,732.0,476.0,2.0,0.0,19.0,20.0,137.0
1002114,train,PIXR,False,Dec 2003,38.0,45.0,194.0,239.0,224.0,0.0,0.0,125.0,393.0,262.0,1001.0,726.0,39.0,0.0,60.0,31.0,204.0
1002114,train,PIXR,False,Dec 2004,30.0,36.0,209.0,245.0,244.0,0.0,0.0,142.0,535.0,273.0,1275.0,111.0,19.0,0.0,55.0,35.0,82.0
1002114,train,PIXR,False,Dec 2005,39.0,40.0,215.0,255.0,250.0,0.0,0.0,153.0,688.0,289.0,1489.0,65.0,21.0,0.0,47.0,34.0,60.0
37996,train,F,False,Dec 2016,135042.0,8717.0,7735.0,16452.0,16758.0,93301.0,47683.0,4589.0,15634.0,151800.0,237951.0,108461.0,90281.0,8898.0,208668.0,10972.0,57368.0
37996,train,F,False,Dec 2017,140368.0,8572.0,9349.0,17921.0,16408.0,102666.0,50684.0,7731.0,21906.0,156776.0,258496.0,116801.0,94600.0,11176.0,222792.0,11527.0,62809.0
37996,train,F,False,Dec 2018,145732.0,8413.0,5573.0,13986.0,14606.0,100720.0,31143.0,3677.0,22668.0,160338.0,256540.0,114649.0,95569.0,11220.0,220474.0,11403.0,65548.0
37996,train,F,False,Dec 2019,144165.0,8490.0,409.0,8899.0,11735.0,101361.0,36874.0,47.0,20320.0,155900.0,258537.0,114047.0,98132.0,10786.0,225307.0,11161.0,62888.0
37996,train,F,False,Dec 2020,121359.0,7457.0,535.0,7992.0,5785.0,110341.0,36004.0,-1279.0,18243.0,127144.0,267261.0,116744.0,97192.0,10808.0,236450.0,10193.0,52394.0
1034669,train,FSCI,False,Dec 2007,68.0,24.0,-6.0,17.0,66.0,122.0,142.0,-9.0,134.0,134.0,331.0,103.0,26.0,0.0,176.0,72.0,40.0
